,Season,Episode,Title,IMDB Rating,Total Votes,Air Date
0,1,1,Izuku Midoriya: Origin,7.9,851,5 May 2018
1,1,2,What It Takes to Be a Hero,8.4,820,12 May 2018
2,1,3,Roaring Muscles,8.0,702,19 May 2018
3,1,4,Start Line,8.5,740,2 Jun 2018
4,1,5,What I Can Do For Now,8.1,666,9 Jun 2018
5,1,6,"Rage, You Damn Nerd",8.1,648,16 Jun 2018
6,1,7,Deku vs. Kacchan,8.8,779,23 Jun 2018
7,1,8,Bakugou's Starting Line,7.8,621,30 Jun 2018
8,1,9,"Yeah, Just Do Your Best, Iida!",7.6,609,7 Jul 2018
9,1,10,Encounter with the Unknown,8.2,631,14 Jul 2018
10,1,11,Game Over,8.7,706,21 Jul 2018
11,1,12,All Might,9.3,1076,28 Jul 2018
12,1,13,Upon Each of Their Hearts,8.6,689,4 Aug 2018
0,2,1,Hero Notebook,6.3,363,25 Mar 2017
1,2,2,"That's the Idea, Ochaco",7.4,581,11 Aug 2018
2,2,3,Roaring Sports Festival,7.7,531,18 Aug 2018
3,2,4,In Their Own Quirky Ways,8.3,586,25 Aug 2018
4,2,5,"Strategy, Strategy, Strategy",8.2,546,8 Sep 2018
5,2,6,Cavalry Battle Finale,8.6,625,15 Sep 2018
6,2,7,The Boy Born with Everything,7.9,523,22 Sep 2018
7,2,8,Victory or Defeat,8.2,543,29 Sep 2018
8,2,9,"Battle On, Challengers!",7.9,517,6 Oct 2018
9,2,10,Bakugo vs. Uraraka,8.7,660,13 Oct 2018
10,2,11,Shoto Todoroki: Origin,9.6,1521,20 Oct 2018
11,2,12,"Fight on, Iida",8.1,522,27 Oct 2018
12,2,13,Todoroki vs. Bakugo,8.6,596,3 Nov 2018
13,2,14,Time to Pick Some Names,7.7,494,10 Nov 2018
14,2,15,Bizarre! Gran Torino Appears,7.8,503,24 Nov 2018
15,2,16,Midoriya and Shigaraki,8.1,510,1 Dec 2018
16,2,17,Hero Killer: Stain vs U.A. Students,9.2,768,8 Dec 2018
17,2,18,Climax,9.2,786,15 Dec 2018
18,2,19,The Aftermath of Hero Killer: Stain,7.8,490,6 Jan 2019
19,2,20,Everyone's Internships,6.8,508,13 Jan 2019
20,2,21,Listen Up!! A Tale from the Past,8.0,497,20 Jan 2019
21,2,22,Gear Up for Final Exams,7.6,480,27 Jan 2019
22,2,23,Yaoyorozu: Rising,8.3,508,3 Feb 2019
23,2,24,Stripping the Varnish,7.7,474,10 Feb 2019
24,2,25,Katsuki Bakugo: Origin,8.9,653,17 Feb 2019
25,2,26,Encounter,8.3,526,24 Feb 2019
0,3,1,Game Start,6.8,572,3 Mar 2019
1,3,2,"Wild, Wild Pussycats",7.6,527,10 Mar 2019
2,3,3,Kota,7.9,550,17 Mar 2019
3,3,4,My Hero,9.4,1281,24 Mar 2019
4,3,5,"Drive It Home, Iron Fist!!!",8.7,586,31 Mar 2019
5,3,6,Roaring Upheaval,8.6,558,7 Apr 2019
6,3,7,What a Twist!,8.3,522,13 Apr 2019
7,3,8,From Iida to Midoriya,8.1,499,20 Apr 2019
8,3,9,All for One,9.0,736,27 Apr 2019
9,3,10,Symbol of Peace,9.4,913,4 May 2019
10,3,11,One For All,9.8,2923,11 May 2019
11,3,12,"End of the Beginning, Beginning of the End",8.3,536,18 May 2019
12,3,13,Moving into Dorms,7.4,468,25 May 2019
13,3,14,Create Those Ultimate Moves,7.9,444,1 Jun 2019
14,3,15,The Test,7.8,429,8 Jun 2019
15,3,16,Shiketsu High Lurking,7.8,418,15 Jun 2019
16,3,17,Class 1-A,8.0,414,22 Jun 2019
17,3,18,RUSH!,8.3,435,29 Jun 2019
18,3,19,Rescue Exercises,7.6,405,7 Jul 2019
19,3,20,Special Episode - Save the World with Love!,6.5,408,14 Jul 2019
20,3,21,What's the Big Idea?,8.5,476,21 Jul 2019
21,3,22,A Talk about Your Quirk,8.3,442,28 Jul 2019
22,3,23,"Deku vs. Kacchan, Part 2",9.4,945,4 Aug 2019
23,3,24,A Season for Encounters,7.8,398,11 Aug 2019
24,3,25,Unrivaled,8.4,445,18 Aug 2019
0,4,1,The Scoop on U.A. Class 1-A,7.2,517,9 Nov 2019
1,4,2,Overhaul,8.0,481,16 Nov 2019
2,4,3,Boy Meets...,7.8,454,23 Nov 2019
3,4,4,Fighting Fate,8.6,510,30 Nov 2019
4,4,5,"Let's Go, Gutsy Red Riot",8.7,542,7 Dec 2019
5,4,6,An Unpleasant Talk,7.8,444,14 Dec 2019
6,4,7,GO!!,8.1,433,4 Jan 2020
7,4,8,Suneater of the Big Three,8.7,531,11 Jan 2020
8,4,9,Red Riot,9.1,709,18 Jan 2020
9,4,10,Temp Squad,8.1,448,25 Jan 2020
10,4,11,Lemillion,9.6,1453,1 Feb 2020
11,4,12,Unforeseen Hope,9.4,838,8 Feb 2020
12,4,13,Infinite 100%,9.7,2066,15 Feb 2020
13,4,14,Bright Future,9.1,621,29 Feb 2020
14,4,15,Smoldering Flames,7.6,364,7 Mar 2020
15,4,16,Win Those Kids' Hearts,6.9,371,14 Mar 2020
16,4,17,Relief for License Trainees,7.4,366,21 Mar 2020
17,4,18,School Festival,6.9,360,28 Mar 2020
18,4,19,Prepping for the School Festival is the Funnest Part,7.1,341,4 Apr 2020
19,4,20,Golden Tips Imperial,6.5,355,18 Apr 2020
20,4,21,Deku vs. Gentle Criminal,7.7,373,25 Apr 2020
21,4,22,School Festival Start!,8.7,478,2 May 2020
22,4,23,Let it Flow! School Festival!,8.7,512,16 May 2020
23,4,24,Japanese Hero Billboard Chart,7.8,367,20 Jun 2020
24,4,25,His Start,9.8,1875,27 Jun 2020
